web-scraper-order,web-scraper-start-url,name,name-href,category
1533200757-220,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Calvinus Rousse,https://www.ratebeer.com/beer/calvinus-rousse/317963/,Belgian Strong Ale
1533200757-219,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Calvinus Noire,https://www.ratebeer.com/beer/calvinus-noire/82735/,Porter
1533200757-240,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Exquisitus,https://www.ratebeer.com/beer/locher-exquisitus/350466/,Barley Wine
1533200757-218,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Calvinus Blonde,https://www.ratebeer.com/beer/calvinus-blonde/38366/,Pale Lager
1533200757-263,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Quöllfrisch Hopfig Herb,https://www.ratebeer.com/beer/locher-quollfrisch-hopfig-herb/347422/,Dortmunder/Helles
1533200757-238,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Coop Bio Spezialbier Naturtrüb,https://www.ratebeer.com/beer/locher-coop-bio-spezialbier-naturtrub/31488/,Pale Lager
1533200757-275,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Zitronen-Panache,https://www.ratebeer.com/beer/locher-zitronen-panache/239189/,Radler/Shandy
1533200757-214,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Aemme Hell,https://www.ratebeer.com/beer/aemme-hell/85123/,Dortmunder/Helles
1533200757-223,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ela Bier Lager Naturtrüb,https://www.ratebeer.com/beer/ela-bier-lager-naturtrub/154346/,Pale Lager
1533200757-254,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Leermond,https://www.ratebeer.com/beer/locher-leermond/6532/,Low Alcohol
1533200757-256,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Metzger Bier (Bière du Boucher),https://www.ratebeer.com/beer/locher-metzger-bier-biere-du-boucher/104481/,Dortmunder/Helles
1533200757-210,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Ackermann Hopfe Häxli,https://www.ratebeer.com/beer/ackermann-hopfe-haxli/7990/,Pale Lager
1533200757-231,https://www.ratebeer.com/brewers/locher-appenzeller-bier/1122/,Bio Naturplus Selection Manor,https://www.ratebeer.com/beer/locher-bio-naturplus-selection-manor/27116/,Pale Lager
